C,mp,FA,CA,F,W_P,Adm,str
350,0,780,1110,0,0.39,5.95,31.27
352.15,0,975,525,72.85,0.521085,7,25
364.3,0,975,525,60.4,0.503706,7,33
360,0,975,525,115,0.509722,7,25
372.15,0,975,525,127.85,0.493081,7,45
364.3,0,975,525,135.4,0.503706,7,44
374.3,0,975,525,50.4,0.490248,7,35
360,20,777.1,1000,0,0.45,1.45,61
394,0,707.2,1257.2,0,0.4,0.63,32.5
362.15,0,975,525,137.85,0.506696,7,38
382.15,0,975,525,92.85,0.480178,7,43
350,0,780,1110,0,0.35,5.25,27.22
316.5,105.5,689,1278,0,0.35,1.4,34.52
360,0,975,525,65,0.509722,7,19
344.3,50,975,525,55.4,0.532965,7,33
400,0,875,875,200,0.4,8.4,43
362.15,50,975,525,37.85,0.506696,7,36
370,0,975,525,105,0.495946,7,32
352.15,0,975,525,147.85,0.521085,7,32
370,0,975,525,55,0.495946,7,25
364.3,0,975,525,110.4,0.503706,7,42
400,0,975,525,0,0.45875,7,27
372.15,100,975,525,27.85,0.493081,7,44
362.15,0,975,525,112.85,0.506696,7,36
382.15,25,975,525,17.85,0.480178,7,35
320,40,761.2,1000,0,0.45,1.7,60
275,55,970,722,220,0.33,1.1,47.5
350,35,780,1110,0,0.37,5.25,32.8
372.15,25,975,525,27.85,0.493081,7,32
315,31.5,780,1110,0,0.39,4.73,28.13
374.3,0,975,525,100.4,0.490248,7,43
380,0,975,525,120,0.482895,7,39
220,165,970,722,165,0.33,1.375,39
390,0,975,525,110,0.470513,7,42
352.15,25,975,525,47.85,0.521085,7,26
390,0,790.7,1000,0,0.45,1.45,59
280,56,780,1110,0,0.37,4.76,23.84
354.6,39.4,707.2,1257.2,0,0.4,0.74,33.56
315,31.5,780,1110,0,0.37,4.73,32.5416
354.3,0,975,525,145.4,0.517923,7,39
315,31.5,780,1110,0,0.37,4.73,30.954
400,80,180,720,0,0.41,0,39
315,94.5,780,1110,0,0.37,4.73,36.05592
352.15,0,975,525,122.85,0.521085,7,31
315,31.5,780,1110,0,0.37,4.73,32.5416
400,200,806,806,0,0.3,8.6,39
340,40,772.5,1000,0,0.45,1.475,55
350,0,780,1110,0,0.37,5.25,28.33
354.3,75,975,525,45.4,0.517923,7,41
280,56,780,1110,0,0.35,4.76,26.01
354.3,0,975,525,95.4,0.517923,7,33
362.15,0,975,525,62.85,0.506696,7,28
360,0,975,525,90,0.509722,7,25
